식품코드,식품코드명,농진청식품코드
01002,"귀리, 쌀귀리, 도정, 생것",A001002A010a
01003,"귀리, 오트밀",A0020000009a
01004,"기장, 도정, 생것",A003000A010a
01005,"메밀, 도정, 생것",A004000A010a
01006,"메밀, 도정, 가루",A004000A015a
01007,"메밀 국수, 생것",A0050000000a
01008,"메밀 국수, 생것, 삶은것",A0050000000b
01009,"메밀 국수, 말린것",A0050000001a
01010,"메밀 국수, 말린것, 삶은것",A0050000001b
01011,"메밀 냉면, 말린것",A0060000001a
01012,메밀묵,A0070000000a
01014,"밀, 도정, 생것",A016000A010a
01019,"밀, 중력밀가루",A0160080005a
01020,"밀, 통밀가루",A0160100005a
01021,"밀, 강력밀가루",A0160010005a
01023,"밀, 박력밀가루",A0160040005a
01025,"밀, 부침가루",A0160050005a
01026,"밀, 빵가루",A0160060005a
01027,"밀, 튀김가루",A0160110005a
01031,"라면, 말린것",A0190000001a
01033,"마카로니, 말린것",A0240010001a
01034,"마카로니, 말린것, 삶은것",A0240010001b
01035,"국수, 소면, 말린것",A0180010001a
01036,"국수, 소면, 말린것, 삶은것",A0180010001b
01037,"스파게티면, 말린것",A0240020001a
01038,"스파게티면, 말린것, 삶은것",A0240020001b
01039,"우동면, 생것",A0180020000a
01040,"우동면, 생것, 삶은것",A0180020000b
01043,"중국국수면, 생것",A0180040000a
01044,"중국국수면, 생것, 삶은것",A0180040000b
01048,"국수, 중면, 말린것",A0180050001a
01049,"쫄면, 말린것",A0180060001a
01050,"칼국수면, 생것",A0180070000a
01051,"칼국수면, 반건조",A0180070004a
01052,"과자, 건빵",A0170010009a
01054,"빵, 곰보빵",A0210020009a
01055,"빵, 도넛, 링",A0210040339a
01058,"빵, 도넛, 팥",A0210040069a
01059,"빵, 롤빵, 소프트",A0210050159a
01061,"빵, 마늘빵",A0210060009a
01062,"과자, 만주, 밤",A0170020139a
01063,"빵, 머핀, 우유",A0210070369a
01065,"과자, 모나카",A0170030009a
01066,"빵, 모닝빵",A0210080009a
01069,"과자, 비스킷, 소프트",A0170040159a
01071,"과자, 사과파이",A0170050009a
01076,"샌드위치, 햄, 치즈",S0370050009a
01077,"과자, 전병",A0170060009a
01078,"과자, 전병, 김",A0170060169a
01081,"과자, 스낵, 새우",A0170080179a
01082,"과자, 스낵, 옥수수",A0170080209a
01084,"빵, 식빵",A0210120009a
01085,"빵, 식빵, 우유",A0210120369a
01086,"빵, 식빵, 옥수수",A0210120209a
01087,"빵, 모카빵",A0210090009a
01089,"과자, 약과",A0170090009a
01091,"빵, 옥수수빵",A0210130009a
01092,"빵, 와플",A0210250009a
01093,"빵, 와플, 커스터드 크림",A0210250239a
01094,"빵, 와플, 잼",A0210250229a
01095,"과자, 바닐라 웨하스",A0170110269a
01096,"빵, 잼빵",A0210140009a
01098,"과자, 초코볼",A0170120009a
01099,"과자, 초코파이",A0170130009a
01100,"빵, 카스텔라",A0210160009a
01104,"케이크, 롤 케이크",A0230030009a
01105,"케이크, 생크림 블루베리",A0230050009a
01108,"케이크, 스폰지 케이크",A0230070009a
01110,"케이크, 초콜릿 케이크",A0230090009a
01111,"케이크, 치즈 케이크",A0230100009a
01113,"케이크, 파운드 케이크",A0230120009a
01114,"케이크, 과일(후르츠)",A0230010009a
01115,"과자, 쿠키, 땅콩버터",A0170140279a
01116,"과자, 쿠키, 초코칩",A0170140289a
01117,"과자, 쿠키, 버터",A0170140299a
01118,"과자, 크랙커",A0170150009a
01119,"과자, 크래커, 땅콩샌드",A0170150309a
01120,"과자, 크래커, 치즈샌드",A0170150319a
01121,"빵, 크루아상",A0210170009a
01124,"빵, 크로켓",A0210180009a
01125,"빵, 크림빵",A0210190009a
01126,"빵, 팥빵",A0210200009a
01127,"빵, 페이스트리, 과일",A0210210449a
01128,"빵, 페이스트리, 치즈",A0210210439a
01129,"케이크, 팬케이크",A0230130009a
01131,"푸딩, 커스터드",C0200020009a
01133,"빵, 피칸파이",A0210260009a
01138,"빵, 찐빵, 팥",A0210150069a
01139,"빵, 찐빵, 채소",A0210150409a
01143,"보리, 겉보리, 도정, 생것",A025001A010a
01144,"보리, 겉보리, 압맥",A0250010469a
01146,"보리, 쌀보리, 도정, 생것",A025005A010a
01148,"보리, 쌀보리, 찰보리, 도정, 생것",A025007A010a
01149,"보리, 가루",A0250000005a
01154,"수수, 도정, 생것",A027000A010a
01156,"수수떡, 수수경단",A0280010009a
01157,"수수, 찰수수, 도정, 생것",A027001A010a
01158,"시리얼, 옥수수",A0290100009a
01159,"시리얼, 쌀",A0290170009a
01160,"시리얼, 옥수수, 아몬드",A0290040009a
01161,"시리얼, 옥수수, 코코아",A0290180009a
01163,"시리얼, 현미",A0290130009a
01167,"멥쌀, 현미, 일품벼, 생것",A008020A060a
01172,"멥쌀, 칠분도미, 생것",A008000A050a
01173,"멥쌀, 백미, 생것",A008000A030a
01182,"멥쌀, 현미, 흑미, 생것",A0080000020a
01194,"찹쌀, 현미, 생것",A038000A060a
01195,"찹쌀, 백미, 생것",A038000A030a
01197,"멥쌀, 현미, 밥",A013000A069a
01199,"멥쌀, 백미, 밥",A013000A039a
01204,누룽지,A0130000089a
01207,"멥쌀, 백미, 죽",A015000A039a
01211,"멥쌀떡, 가래떡",A0110010009a
01212,"멥쌀떡, 개피떡(바람떡)",A0110020009a
01213,"멥쌀떡, 개피떡(바람떡), 쑥",A0110020039a
01214,"멥쌀떡, 꿀떡",A0110030009a
01215,"멥쌀떡, 백설기",A0110060009a
01217,"멥쌀떡, 송편, 검정콩",A0110070059a
01218,"멥쌀떡, 송편, 깨",A0110070079a
01219,"멥쌀떡, 송편, 팥",A0110070069a
01220,"멥쌀떡, 시루떡, 팥",A0110080009a
01221,"멥쌀떡, 절편",A0110100009a
01222,"멥쌀떡, 증편",A0110110009a
01228,"멥쌀, 현미, 발아현미, 생것",A008009A060a
01230,"멥쌀, 백미, 가루",A008000A035a
01231,"멥쌀 과자, 쌀엿강정, 팽화",A0090040009w
01232,"멥쌀 과자, 튀밥, 팽화",A0090030009j
01233,멥쌀 과자,A0090000009a
01234,"찹쌀 과자, 전병",A0390040009a
01239,"찹쌀떡, 경단 카스텔라",A0410010529a
01240,"찹쌀떡, 약식",A0410030009a
01241,"찹쌀떡, 인절미, 콩고물",A0410040549a
01242,"찹쌀떡, 인절미, 팥고물",A0410040539a
01243,"찹쌀떡, 찰시루떡",A0410050009a
01244,찹쌀떡,A0410000009a
01247,"찹쌀 과자, 산자",A0390020009a
01248,"찹쌀 과자, 유과",A0390030009a
01249,"찹쌀, 백미, 가루",A0380000005a
01251,"옥수수, 메옥수수, 구운것",A0300030009f
01252,"옥수수, 메옥수수, 말린것",A0300030001a
01253,"옥수수, 단옥수수, 생것",A0300020000a
01254,"옥수수, 단옥수수, 삶은것",A0300020009b
01255,"옥수수, 찰옥수수, 생것",A0300070000a
01257,"옥수수, 찰옥수수, 삶은것",A0300070009b
01259,"옥수수, 가루",A0300000005a
01261,"옥수수, 통조림, 가당",A030000E01Ra
01263,"옥수수, 통조림, 홀커넬",A030000049Ra
01267,"율무, 도정, 생것",A034000A010a
01270,"조, 메조, 도정, 생것",A037001A010a
01271,"조, 차조, 도정, 생것",A037002A010a
01276,호밀빵,A0450000009a
